Rule	Source	Pg. #	OGL Source/Legal Status
Gladiatorial Combat	GAZ15 Dawn of the Emperors - Thyatis and Alphatia - Book #2 - Player's Guide to Thyatis	32	PD
Glyphs	HWR2 Hollow World: Kingdom of Nithia: DM's Tome	32	PD
Gnome Device Construction	PC2 Top Ballista: DMs Booklet	34	PD
Halfling Denial Abilitiy	GAZ8 The Five Shires: Player's Booklet	3	Dark Dungeons Deluxe
Heat Exhaustion	HWR2 Hollow World: Kingdom of Nithia: Player's Tome	33	PD
Heat Exhaustion & Lack of Water	GAZ2 The Emirates of Ylaruam	32	PD
Heraldry	Dragon #199	41	PD
Hieroglyphic	HWR2 Hollow World: Kingdom of Nithia: DM's Tome	23	PD
Honor	GAZ2 The Emirates of Ylaruam	33	PD
Humanoid Armor	GAZ10 The Orcs of Thar: Player's Guide	44	PD
Icons	HWR3 Hollow World: The Milenian Empire: Campaign Book	38	PD
Immortality	Rules Cyclopedia	219	Dark Dungeons Deluxe
Important Past Experience	GAZ7 The Northern Reaches: Players Book	20	PD
Improvements/Disabilities	PC3 The Sea People: The Sea Peoples Book	29	PD
Improving Ability Scores	https://bruce-heard.blogspot.com/2018/08/AbilityScores.html		PD
Incarnates	https://bruce-heard.blogspot.com/2020/05/Incarnates.html		PD
Life Spans	GAZ10 The Orcs of Thar: Dungeon Master's Booklet	35	Dark Dungeons Deluxe
Limbo	Dragon #180	44	PD
Mage Apprentices	Imagine #8	10	PD
Magic Crafting	GAZ8 The Five Shires: Dungeon Masters Booklet	18	PD
Magic Item Creation	Rules Cyclopedia	250	Dark Dungeons Deluxe
Magic Item Creation	GAZ15 Dawn of the Emperors - Thyatis and Alphatia - Book #3 - Player's Guide to Alphatia	27	PD
Magic Item Creation (Expanded)	GAZ15 Dawn of the Emperors: Thyatis and Alphatia: Book #3: Player's Guide to Alphatia	27	PD
Magic Item Damage	Rules Cyclopedia	145	PD
Magical Tongue	Imagine #27	11	PD
Mercantile Trade	GAZ11 The Republic of Darokin: Player's Guide	21	PD
Monoliths	HWR2 Hollow World: Kingdom of Nithia: DM's Tome	39	PD
Monster Creation	Polyhedron #2	9	PD
Monster Difficulty	Imagine #26	9	PD
Monster Mounts	Rules Cyclopedia	68	PD
Monster Spellcasters	Rules Cyclopedia	215	Dark Dungeons Deluxe
NPCs	Rules Cyclopedia	132	Dark Dungeons Deluxe
Naval Combat	GAZ15 Dawn of the Emperors: Thyatis and Alphatia: Book #1: The Dungeon Master's Sourcebook	90	PD
Naval Combat	M1 Into the Maelstrom or M2 Vengeance of Alphaks	4	PD
Naval Combat	Rules Cyclopedia	115	Dark Dungeons Deluxe
Nonlethal Combat	Rules Cyclopedia	267	PD
Open Locks Alternative	Imagine #24	34	PD
Pack and Draft Animals	GAZ11 The Republic of Darokin: Player's Guide	21	PD
Parentage & Siblings	GAZ14 The Atruaghin Clans: Player's Guide	8	PD
Peripheral Vision	PC3 The Sea People: The Sea Peoples Book	3	PD
Personality Traits	GAZ7 The Northern Reaches: Players Book	9	PD
Physical Details	PC3 The Sea People: The Sea Peoples Book	28	PD
Pirate Encounters	GAZ9 The Minrothad Guilds: Dungeon Master's Booklet	14	PD
Pirates	GAZ9 The Minrothad Guilds: Dungeon Master's Booklet	12	PD
Planes	Rules Cyclopedia	263	Dark Dungeons Deluxe
Power Runes	GAZ7 The Northern Reaches	29	PD
Pyramid Energy	HWR2 Hollow World: Kingdom of Nithia: DM's Tome	28	PD
Racial Tolerance	GAZ10 The Orcs of Thar - Players' Guide	33	PD
Riding	GAZ2 The Emirates of Ylaruam	32	PD
Rune Magic	GAZ7 The Northern Reaches: Players Book	26	PD
Sailing	GAZ9 The Minrothad Guilds: Dungeon Master's Booklet	35	PD
Saving Throw Bonuses	Master DM's Book	3	PD
Ships: Movement Rate (Revisited)	https://bruce-heard.blogspot.com/2020/07/Ship-Speeds-Revisited.html		PD
Ships: Movement Rate (Updated)	https://bruce-heard.blogspot.com/2017/11/ShipMVrates.html		PD
Ships: Viking	Imagine #30	7	PD
Shrines	HWR3 Hollow World: The Milenian Empire: Campaign Book	39	PD
Siege Combat	Rules Cyclopedia	115	Dark Dungeons Deluxe
Skills	Rules Cyclopedia	81	Dark Dungeons Deluxe
Skills (Revisited)	https://bruce-heard.blogspot.com/2018/09/GeneralSkills.html		PD
Social Level	GM2 Find the Lady	7	PD
Social Standing	GAZ6 The Dwarves of Rockhome	12	PD
Space Travel	Dragon #160	38	PD
Special Combat Magic	https://bruce-heard.blogspot.com/2018/10/Combat-Magic-I.html		PD
Special Swords	Rules Cyclopedia	245	Dark Dungeons Deluxe
Special Weapons	Rules Cyclopedia	247	Dark Dungeons Deluxe
Specialized Spellcasters	Dragon #200	27	PD
Speculative Trade	GAZ9 The Minrothad Guilds: Dungeon Master's Booklet	28	PD
Spell & Magic Item Creation	AC11 The Book of Wondrous Inventions	93	PD
Spell Creation	Rules Cyclopedia	255	Dark Dungeons Deluxe
Spell Ship Tactics	GAZ9 The Minrothad Guilds: Dungeon Master's Booklet	18	PD
Stone Giant Creation	AC10 Bestiary of Dragons and Giants	20	PD
Storytelling	GAZ2 The Emirates of Ylaruam	33	PD
Striking and Wrestling	Rules Cyclopedia	111	PD
Strongholds and Dominions	Rules Cyclopedia	134	Dark Dungeons Deluxe
Subdual and Control of Dragons	AC10 Bestiary of Dragons and Giants	23	PD
Swimming & Diving	Thunder Rift: The Knight of Newts	13	PD
Tailoring Challenges to Characters	Dragon #101	16	PD
Tournaments	Set #3: Companion Rules: Book #2: Dungeon Masters Companion	6	PD
Training Background	GAZ7 The Northern Reaches	15	PD
Travelling Clerics	Companion Rules	13	PD
Unarmed Combat	Rules Cyclopedia	110	PD
Undead Lieges and Pawns	Rules Cyclopedia	217	Dark Dungeons Deluxe
Underage Adventurers	https://bruce-heard.blogspot.com/2019/06/underage-adventurers.html		
Underwater Boats	PC3 The Sea People: The Sea Peoples Book	63	PD
Underwater Chariots	PC3 The Sea People: The Sea Peoples Book	63	PD
Underwater Combat	Rules Cyclopedia	115	Dark Dungeons Deluxe
Underwater Vision	PC3 The Sea People: The Sea Peoples Book	3	PD
Unfortunate Legacy	GAZ10 The Orcs of Thar: Player's Guide	46	PD
War Machine Additons (Vikings)	Imagine #30	7	PD
War Machine Modifications & Additions	Dragon #109	38	PD
Water Travel	Rules Cyclopedia	89	Dark Dungeons Deluxe
Weapon Defects	GAZ10 The Orcs of Thar: Player's Guide	42	PD
Weapon Mastery	Rules Cyclopedia	75	Dark Dungeons Deluxe
Weather	Champions of Mystara: Designer's Manual	26	PD
Weather (Expanded)	GAZ11 The Republic of Darokin: Player's Guide	29	PD
Winged Humanoids	https://bruce-heard.blogspot.com/2020/10/Elean.html		PD
World-Shield Ore	HWA2 Nightrage	62	TM
