Weapon	Damage	Cost (gp)	Source	Pg. #	OGL Source/Legal Status
Sword, Tiger Clan Short	1d6+1	??	GAZ14 The Atruaghin Clans - Player's Guide	51	TM
Sword, Toratsume	1d4	15	Rage of the Rakasta	13	TM
Sword, Two-Handed	1d10	15	Rules Cyclopedia	62	Dark Dungeons Deluxe
Sword, Wakizashi	1d6	7	Rage of the Rakasta	13	Dark Dungeons Deluxe (Short Sword)
Torch	1d4	1/6	Rules Cyclopedia	62	Dark Dungeons Deluxe
Trident	1d6	5	Rules Cyclopedia	62	Dark Dungeons Deluxe
Venom Blade	1d4	??	Imagine #23	30	TM
Weapon, Miniature	1-2 smaller	2x	PC1 Tall Tales of the Wee Folk - DM's Booklet	49	Dark Dungeons Deluxe (Miniature/Giant Weapon)
Weapon, Non-ferrous	As weapon	50% or 5x more	PC1 Tall Tales of the Wee Folk - DM's Booklet	49	PD
Weapon, Oversized	Varies	Varies	GAZ10 The Orcs of Thar: Player's Guide	43	Dark Dungeons Deluxe (Miniature/Giant Weapon)
Weapon, Small/Large	Varies	Varies	PC2 Top Ballista - DM's Booklet	39	Dark Dungeons Deluxe (Miniature/Giant Weapon)
Whip	1d2	1/ft	Rules Cyclopedia	62	Dark Dungeons Deluxe
