Magic Item	Source	Pg. #	Legal Status	OGL Source
Broth, Zombie	HWR3 The Milenian Empire: Campaign Book	33		
Buckle, Armor	AC4 The Book of Marvelous Magic	21		
Buckle, Faulty Lockpicks	AC4 The Book of Marvelous Magic	21		
Buckle, Lockpicks	AC4 The Book of Marvelous Magic	21		
Buckle, Opening	AC4 The Book of Marvelous Magic	21		
Buckle, Protection	AC4 The Book of Marvelous Magic	21		
Buckle, Weaponry	AC4 The Book of Marvelous Magic	21		
Bugle, Reviving	AC4 The Book of Marvelous Magic	21		
Bugle, Sleeping	AC4 The Book of Marvelous Magic	21		
Bugle, Waking	AC4 The Book of Marvelous Magic	21		
Button, Blasting	AC4 The Book of Marvelous Magic	21		
Button, Confusion	AC4 The Book of Marvelous Magic	21		
Button, Fastening	AC4 The Book of Marvelous Magic	21		
Cabinet, Ministering	AC4 The Book of Marvelous Magic	22		
Cabinet, Security	AC4 The Book of Marvelous Magic	22		
Cage, Batting	AC4 The Book of Marvelous Magic	22		
Cage, Carrying	AC4 The Book of Marvelous Magic	22		
Cage, Entrapment	AC4 The Book of Marvelous Magic	22		
Caldron, Heatin	AC4 The Book of Marvelous Magic	22		
Cameo, Appearance	AC4 The Book of Marvelous Magic	22		
Cameo, Incompetence	AC4 The Book of Marvelous Magic	22		
Can of Spinach	Polyhedron #23	22		
Can, Cant	AC4 The Book of Marvelous Magic	23		
Can, Moonlight	AC4 The Book of Marvelous Magic	23		
Can, Worms	AC4 The Book of Marvelous Magic	23		
Candle, Powerlessness	AC4 The Book of Marvelous Magic	23		
Candle, Protection	AC4 The Book of Marvelous Magic	23		
Cane, Age	AC4 The Book of Marvelous Magic	23		
Cane, Armament	AC4 The Book of Marvelous Magic	23		
Cane, Blindless	AC4 The Book of Marvelous Magic	23		
Cane, Detection	AC4 The Book of Marvelous Magic	23		
Cane, Stiffness	AC4 The Book of Marvelous Magic	23		
Canister, Curses	Polyhedron #23	22		
Canoe, Portage	AC4 The Book of Marvelous Magic	23		
Canoe, Travel	AC4 The Book of Marvelous Magic	23		
Cap, Shadow	AC4 The Book of Marvelous Magic	24		
Cap, Teleportation	PC1 Tall Tales of the Wee Folk - DM's Booklet	60		
Cape, Disguise	AC4 The Book of Marvelous Magic	23		
Cape, Good Hope	AC4 The Book of Marvelous Magic	24		
Cape, Horns	AC4 The Book of Marvelous Magic	24		
Cape, Protection	AC4 The Book of Marvelous Magic	24		
Cape, Reeking	AC4 The Book of Marvelous Magic	24		
Carpet, Flying	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Cart, Decks	AC4 The Book of Marvelous Magic	24		
Carving, Restful Sleep	Assault on Ravens Ruin	16		
Cat, Convenience	AC4 The Book of Marvelous Magic	24		
Celestial Planisphere	GAZ2 The Emirates of Ylaruam	61		
Censer, Conduct	Polyhedron #23	22		
Censer, Controlling Air Elementals	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe (Censer of Air Elementals)
Chalice, Colors	AC4 The Book of Marvelous Magic	24		
Chalice, Detection	AC4 The Book of Marvelous Magic	24		
Chalice, Identification	AC4 The Book of Marvelous Magic	24		
Chalice, Poison	AC4 The Book of Marvelous Magic	24		
Chariot, Hover	HWR2 Kingdom of Nithia: DM's Tome	35		
Chariot, Vix	HWQ1 The Milenian Scepter	50		
Charms, Resource	HWR2 Kingdom of Nithia: DM's Tome	34		
Cheese, Odors	Polyhedron #23	22		
Cheese, Vile Odors	Polyhedron #23	23		
Chest, Drawers	AC4 The Book of Marvelous Magic	25		
Chest, Sieges	AC4 The Book of Marvelous Magic	25		
Chime, Time	Rules Cyclopedia	239		Dark Dungeons Deluxe
Chime, Visitors	AC4 The Book of Marvelous Magic	25		
City-Breaker	HWR2 Kingdom of Nithia: DM's Tome	35		
Claws, Climbing	Rage of the Rakasta	12		
Claws, Raking	AC4 The Book of Marvelous Magic	25		
Cleats, Gripping	AC4 The Book of Marvelous Magic	25		
Cloak, Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	19		
Cloak, Displacer	Rules Cyclopedia	239		Dark Dungeons Deluxe
Cloak, Elven	Rules Cyclopedia	239		Dark Dungeons Deluxe
Cloak, Meister	PC2 Top Ballista: Adventures Booklet	15		
Cloak, White Charming	Polyhedron #21	7		
Collar, Charisma	AC4 The Book of Marvelous Magic	25		
Collar, Disguise	AC4 The Book of Marvelous Magic	25		
Collar, Stiffness	AC4 The Book of Marvelous Magic	25		
Collar, Strangling	AC4 The Book of Marvelous Magic	25		
Cot, Entrapment	AC4 The Book of Marvelous Magic	25		
Cot, Restlessness	AC4 The Book of Marvelous Magic	26		
Cot, Suspension	AC4 The Book of Marvelous Magic	26		
Crown, Leadership	AC4 The Book of Marvelous Magic	26		
Crown, Rulership	AC4 The Book of Marvelous Magic	26		
Crown, Sorona	X13 Crown of Ancient Glory	61		
Crystal, Death Scrying	CM8 The Endless Stair	27		
Crystals, Abelaat's	DMR1 Escape From Thunder Rift	31		
Cube, Abilities	AC4 The Book of Marvelous Magic	26		
Cube, Bullion	AC4 The Book of Marvelous Magic	26		
Cube, Cubic Foot	AC4 The Book of Marvelous Magic	27		
Cube, Cubic Yard	AC4 The Book of Marvelous Magic	27		
Cube, Disabilities	AC4 The Book of Marvelous Magic	26		
CUbe, Ice	AC4 The Book of Marvelous Magic	27		
Cube, Luck	AC4 The Book of Marvelous Magic	27		
Cube, Sweetness	AC4 The Book of Marvelous Magic	27		
Curtains, Death	AC4 The Book of Marvelous Magic	27		
Curtains, Scenery	AC4 The Book of Marvelous Magic	27		
Curtains, Spying	AC4 The Book of Marvelous Magic	27		
Cymbal, Crash	AC4 The Book of Marvelous Magic	27		
Cymbal, Symbols	AC4 The Book of Marvelous Magic	27		
Dagger, Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	20		
Dart, Death	CM8 The Endless Stair	27		
Daw, Cutting	AC4 The Book of Marvelous Magic	60		
Decanter, Endless Water	HWA2 Nightrage	63		
Deck, Chance	AC4 The Book of Marvelous Magic	28		
Deck, Daffy	AC4 The Book of Marvelous Magic	28		
Deck, Decking	AC4 The Book of Marvelous Magic	28		
Deck, Quarter	AC4 The Book of Marvelous Magic	28		
Deck, Sun	AC4 The Book of Marvelous Magic	28		
Deck, Tracer	AC4 The Book of Marvelous Magic	28		
Deck, Wondrous Power	AC4 The Book of Marvelous Magic	28		
Desk, Restudying	AC4 The Book of Marvelous Magic	29		
Desk, Studying	AC4 The Book of Marvelous Magic	29		
Diadem, Disenchantment	CM8 The Endless Stair	27		
Dimensional Pool	DMR1 Escape From Thunder Rift	31		
Distillate, Wolfsbane	PC4 Night Howlers - DM's Guide	63		
Door, Black	AC4 The Book of Marvelous Magic	29		
Door, Disappearance	AC4 The Book of Marvelous Magic	29		
Door, Displacement	AC4 The Book of Marvelous Magic	29		
Door, Front	AC4 The Book of Marvelous Magic	30		
Door, Guarding	AC4 The Book of Marvelous Magic	30		
Door, Revolving	AC4 The Book of Marvelous Magic	30		
Door, Teleportation	AC4 The Book of Marvelous Magic	29		
Door, Terror	AC4 The Book of Marvelous Magic	30		
Drum, Bass	Polyhedron #23	23		
Drum, Silence	AC4 The Book of Marvelous Magic	30		
Drum, Snare	Polyhedron #23	23		
Drums, Native	AC4 The Book of Marvelous Magic	30		
Drums, Panic	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Dust, Absorption	AC4 The Book of Marvelous Magic	31		
Dust, Adhering	AC4 The Book of Marvelous Magic	31		
Dust, Allergy	AC4 The Book of Marvelous Magic	31		
Dust, Decoy	AC4 The Book of Marvelous Magic	31		
Dust, Feather	AC4 The Book of Marvelous Magic	31		
Dust, Opposition	AC4 The Book of Marvelous Magic	31		
Dust, Sleeping	AC4 The Book of Marvelous Magic	31		
Dust, Sneezing	AC4 The Book of Marvelous Magic	31		
Dynamo, Flying	Champions of Mystara: Designer's Manual	53		
Earring, Burrowing	AC4 The Book of Marvelous Magic	32		
Earring, Defense	AC4 The Book of Marvelous Magic	32		
Earring, Protection +1	AC4 The Book of Marvelous Magic	32		
Earring, Seamanship	AC4 The Book of Marvelous Magic	32		
Egg, Hard-Boiled	AC4 The Book of Marvelous Magic	32		
Egg, Rotten	AC4 The Book of Marvelous Magic	32		
Egg, Soft-Boiled	AC4 The Book of Marvelous Magic	32		
Egg, Wonder	Rules Cyclopedia	239		Dark Dungeons Deluxe
Elvenstar	X11 Saga of the Shadow Lord	60		
Eye, Immortals	HWR2 Kingdom of Nithia: DM's Tome	34		
Eye, Night	HWR3 The Milenian Empire: Campaign Book	32		
Fan, Charming	AC4 The Book of Marvelous Magic	33		
Fan, Club	AC4 The Book of Marvelous Magic	33		
Fan, Dancing	AC4 The Book of Marvelous Magic	33		
Fan, Fanfare	AC4 The Book of Marvelous Magic	33		
Featherchimes	PC2 Top Ballista - DM's Booklet	40		
Figurehead, Cursed	AC4 The Book of Marvelous Magic	33		
Figurehead, Protection	AC4 The Book of Marvelous Magic	33		
Flask, Vapor	GAZ9 The Minrothad Guilds - Dungeon Master's Booklet	22		
Flute, Bone	AC4 The Book of Marvelous Magic	34		
Flute, Courage	AC4 The Book of Marvelous Magic	34		
Flute, Danger	AC4 The Book of Marvelous Magic	34		
Flute, Faerie	AC4 The Book of Marvelous Magic	34		
Flute, Luck	AC4 The Book of Marvelous Magic	34		
Flute, Silver	AC4 The Book of Marvelous Magic	34		
Fork, Jabbing	AC4 The Book of Marvelous Magic	34		
Fork, Travel	AC4 The Book of Marvelous Magic	34		
Four-Leaf Clover	AC4 The Book of Marvelous Magic	35		
Gaff, Docking	AC4 The Book of Marvelous Magic	35		
Gaff, Gaffes	AC4 The Book of Marvelous Magic	35		
Gam, Drusion	AC4 The Book of Marvelous Magic	36		
Gauntlets, Dexterity	AC4 The Book of Marvelous Magic	35		
Gauntlets, Entrapment	AC4 The Book of Marvelous Magic	35		
Gauntlets, Holding	AC4 The Book of Marvelous Magic	35		
Gauntlets, Ogre Power	Rules Cyclopedia	240		Dark Dungeons Deluxe
Gauntlets, Sticking	AC4 The Book of Marvelous Magic	35		
Gauntlets, Super Strength	AC4 The Book of Marvelous Magic	36		
Gavel, Auctions	AC4 The Book of Marvelous Magic	36		
Gavel, Authority	AC4 The Book of Marvelous Magic	36		
Gavel, Order	AC4 The Book of Marvelous Magic	36		
Gem, Ideas	AC4 The Book of Marvelous Magic	36		
Gem, Income	AC4 The Book of Marvelous Magic	36		
Gem, Ionian	GAZ2 The Emirates of Ylaruam	60		
Gem, Magic Missile Protection	CM8 The Endless Stair	27		
Gem, Returning	AC4 The Book of Marvelous Magic	36		
Girdle, De'Rah	M2 Vengeance of Alphaks	30		
Girdle, Freshness	PC2 Top Ballista - DM's Booklet	40		
Girdle, Giant Strength	Rules Cyclopedia	240	SRD (Belt of Giant Strength)	Dark Dungeons Deluxe
Glowglobes	Dungeon #24	18		
Goggles, Troppenribb's	PC2 Top Ballista - DM's Booklet	40		
Gong, Butler Summoning	AC4 The Book of Marvelous Magic	37		
Gong, Chain	AC4 The Book of Marvelous Magic	37		
Gong, Earthquakes	AC4 The Book of Marvelous Magic	37		
Gong, Fishing	AC4 The Book of Marvelous Magic	37		
Gong, Kicking	AC4 The Book of Marvelous Magic	37		
Gong, Stunning	AC4 The Book of Marvelous Magic	37		
Gong, Summoning	AC4 The Book of Marvelous Magic	37		
Gong, Whirlwinds	AC4 The Book of Marvelous Magic	37		
Hammer, Life	CM2 Death's Ride	27		
Hammock, Entrapment	AC4 The Book of Marvelous Magic	38		
Hammock, Protection	AC4 The Book of Marvelous Magic	38		
Handkerchief, Flirting	AC4 The Book of Marvelous Magic	38		
Handkerchief, Length	AC4 The Book of Marvelous Magic	38		
Handkerchief, Sneezing	AC4 The Book of Marvelous Magic	38		
Harp, Broken	AC4 The Book of Marvelous Magic	38		
Harp, Charming	AC4 The Book of Marvelous Magic	38		
Harp, Finger-breaking	AC4 The Book of Marvelous Magic	39		
Harp, Gold	AC4 The Book of Marvelous Magic	39		
Harp, Marks	AC4 The Book of Marvelous Magic	39		
Harp, Questing	AC4 The Book of Marvelous Magic	39		
Harp, Silence	AC4 The Book of Marvelous Magic	39		
Harp, Spirit Restoration	X13 Crown of Ancient Glory	61		
Harp, Throbbing	AC4 The Book of Marvelous Magic	39		
Hasp, Locking	AC4 The Book of Marvelous Magic	39		
Hasp, Reloading	AC4 The Book of Marvelous Magic	39		
Hat, Disguise	AC4 The Book of Marvelous Magic	39		
Hat, Hairiness	AC4 The Book of Marvelous Magic	39		
Hat, Hairlessness	AC4 The Book of Marvelous Magic	39		
Hat, Headlessness	AC4 The Book of Marvelous Magic	39		
Heart, Beating	AC4 The Book of Marvelous Magic	40		
Heart, Hearing	AC4 The Book of Marvelous Magic	40		
Heart, Lion	AC4 The Book of Marvelous Magic	40		
Heart, Royal	AC4 The Book of Marvelous Magic	40		
Heart, Stone	AC4 The Book of Marvelous Magic	40		
Heat, Chicken	AC4 The Book of Marvelous Magic	40		
Helm, Telepathy	Rules Cyclopedia	240	SRD	Dark Dungeons Deluxe
Helping Hand	Imagine #24	32		
Hinge, Opening	AC4 The Book of Marvelous Magic	40		
Hinge, Shrieking	AC4 The Book of Marvelous Magic	40		
Horn, Blasting	Rules Cyclopedia	240	SRD	Dark Dungeons Deluxe
Horn, Hard Hearts	AC4 The Book of Marvelous Magic	40		
Horn, Plenty	AC4 The Book of Marvelous Magic	41		
Horn, September	AC4 The Book of Marvelous Magic	41		
Horn, Shoo	AC4 The Book of Marvelous Magic	41		
Horn, Signaling	AC4 The Book of Marvelous Magic	41		
Horseshoe, Luck	DMR1 Escape From Thunder Rift	31		
Horseshoes, Fleetness	AC4 The Book of Marvelous Magic	41		
Horseshoes, Flying	AC4 The Book of Marvelous Magic	41		
Horseshoes, Petrification	AC4 The Book of Marvelous Magic	41		
Hourglass, Seeing	X11 Saga of the Shadow Lord	60		
Idol, Carnelian	GAZ2 The Emirates of Ylaruam	58		
Inkwell, Concealment	AC4 The Book of Marvelous Magic	42		
Inkwell, Everfull	AC4 The Book of Marvelous Magic	42		
Inkwell, Scrollmaking	AC4 The Book of Marvelous Magic	42		
Internal Conjuration Engine	Champions of Mystara: Designer's Manual	54		
Irons, Imprisonment	AC4 The Book of Marvelous Magic	42		
Irons, Opening	AC4 The Book of Marvelous Magic	42		
Irons, Steam	AC4 The Book of Marvelous Magic	42		
Irons, Throwing	AC4 The Book of Marvelous Magic	42		
Irons, Transference	AC4 The Book of Marvelous Magic	42		
Jug, Hesting	AC4 The Book of Marvelous Magic	43		
Jug, Jade	AC4 The Book of Marvelous Magic	43		
Katana, Zenchoo	Rage of the Rakasta	12		
Kereenyaga (Mystery Rock)	Champions of Mystara: Explorer's Manual	64		
Kettle, Drumming	AC4 The Book of Marvelous Magic	43		
Kettle, Fish	AC4 The Book of Marvelous Magic	43		
Key, Opening	AC4 The Book of Marvelous Magic	43		
Key, Unlocking	AC4 The Book of Marvelous Magic	43		
Kite, Lightning	AC4 The Book of Marvelous Magic	43		
Kite, Reconnaissance	AC4 The Book of Marvelous Magic	43		
Kite, Signaling	AC4 The Book of Marvelous Magic	44		
Ladle, Candlemaking	AC4 The Book of Marvelous Magic	44		
Ladle, Curing	AC4 The Book of Marvelous Magic	44		
Ladle, Drinking	AC4 The Book of Marvelous Magic	44		
Ladle, Duplication	AC4 The Book of Marvelous Magic	44		
Lamp, Darkness	AC4 The Book of Marvelous Magic	46		
Lamp, Floor	AC4 The Book of Marvelous Magic	44		
Lamp, Honesty	AC4 The Book of Marvelous Magic	46		
Lamp, Hurricane	Rules Cyclopedia	240		Dark Dungeons Deluxe
Lamp, Long Burning	Rules Cyclopedia	240		Dark Dungeons Deluxe
Lamp, Shroud	PC2 Top Ballista: Adventures Booklet	15		
Lamp, Summoning	AC4 The Book of Marvelous Magic	46		
Lamps, Magic	GAZ2 The Emirates of Ylaruam	59		
Lance, Piercing	PC2 Top Ballista - DM's Booklet	40		
Leaf, Book	AC4 The Book of Marvelous Magic	46		
Leaf, Colors	AC4 The Book of Marvelous Magic	46		
Leaf, Crumbling	AC4 The Book of Marvelous Magic	46		
Leaf, Falling	AC4 The Book of Marvelous Magic	46		
Leaf, New	AC4 The Book of Marvelous Magic	46		
Leaf, Warmth	AC4 The Book of Marvelous Magic	46		
Lens, Blinding	AC4 The Book of Marvelous Magic	46		
Lens, Far Seeing	AC4 The Book of Marvelous Magic	47		
Lens, Lighting	AC4 The Book of Marvelous Magic	47		
Lens, Reflection	AC4 The Book of Marvelous Magic	47		
Lens, Seeing	AC4 The Book of Marvelous Magic	47		
