Adventure	Level	Campaign Setting	Location	Source	Pg. #
Rank Amateurs	1-3	Mystara	The Broken Lands	Dungeon #22	50
Ransom	3-5	Mystara	Karameikos	Dungeon #42	36
Redcap's Rampage	1-3	Mystara		Dungeon #54	34
Scream of Terror	3-5	Mystara		PC2 Top Ballista: Adventurers Booklet	8
Sethotep	6-9	Generic		Imagine #16	25
Sharks Were Here	6	Mystara		PC3 The Sea People: The Adventure Book	10
Sheep in Wolf's Clothing	3-8	Mystara		PC4 Night Howlers: DM's Guide	49
Sinvel's Peril	12-15	Generic		Imagine #19	25
Sith Bruaaich	6-9	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	9
Some Like it Hot	9-36	Mystara		PC3 The Sea People: The Adventure Book	13
Stonefast	??	Thunder Rift		The Classic Dungeons & Dragons Game	119
Tabi Hunt	1-3	Mystara		PC2 Top Ballista: Adventurers Booklet	4
Tarfil's Tomb	10-14	Mystara	Karameikos	Dungeon #27	8
The Assassination	6-8	Mystara		HWR1 Sons of Azca: Azcan Campaign Book	8
The Bane of Elfswood	15-18	Mystara	Norworld	Dungeon #21	16
The Beacon at Enon Tor	1-2	Pelinore		Imagine: Special Edition	??
The Black Horse	3-8	Mystara		PC4 Night Howlers: DM's Guide	49
The Caves of Confection	1-3	Generic		Polyhedron #51	10
The Creature of Rhyll	1-3	Generic		Dragon #55	37
The Djinni's Ring	3	Mystara	Ylaruam	Dungeon #9	24
The Elven Home	1-3	Mystara		Dungeon #1	38
The Fountain of Health	1	Mystara	Glantri	Dungeon #39	32
The Ghostship Gambit	3-6	Mystara	The Serpent Peninsula	Dungeon #9	44
The Hand of Al-Djamal	9-12	Mystara	Glantri	Dungeon #44	26
The Hanging Hideout	3-5	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	7
The Hivebrood	4-6	Generic		GM1 A Flight of Eagles	46
The Keep at Koralgesh	1-3	Generic		Dungeon #2	45
The Lost Seneschal	1-3	Mystara		PC1 Tall Tales of the Wee Folk: Adventurers Booklet	16
The Lost Temple	1-5	Mystara		HWR1 Sons of Azca: Azcan Campaign Book	6
The Mines of Madness	1-7	Mystara		HWR1 Sons of Azca: Azcan Campaign Book	10
The Moonflower Ruse	1-4	Mystara		PC4 Night Howlers: DM's Guide	48
The Nixie Grotto	5	Mystara		PC3 The Sea People: The Adventure Book	9
The Object of Desire	5-8	Mystara	Ylaruam	Dungeon #50	26
The Revenge of Garr	2-3	Mystara		HWR3 The Milenian Empire: Campaign Book	47
The Ruins of Taymora	2-3	Mystara		PC3 The Sea People: The Adventure Book	6
The Sea Hag	8	Mystara		PC3 The Sea People: The Adventure Book	12
The Shedu's Hall		Pelinore		Imagine #23	25
The Ship of Bones	9-11	Mystara		HWR3 The Milenian Empire: Campaign Book	57
The Sunken Ship	4	Mystara		PC3 The Sea People: The Adventure Book	7
The Sword of Justice	1-2	Generic		Dragon #92	45
The Tomb of Astius	3-5	Mystara		HWR3 The Milenian Empire: Campaign Book	53
The Tombs of Kings	2-4	Generic		Imagine #12	21
The Train of the Kna	7	Mystara		PC3 The Sea People: The Adventure Book	11
The Trouble with Mylvin Wimbly	1-3	Mystara		Dungeon #5	33
The Vineyard Vales	2-4	Mystara	The Northern Reaches	Dungeon #23	6
The Wager	8-11	Mystara		HWR1 Sons of Azca: Azcan Campaign Book	19
The Wererats of Relfen	3-6	Mystara		Dungeon #14	48
The White Wolf Morlay	7-11	Mystara		PC4 Night Howlers: DM's Guide	54
The Witch of Windcrag	2-3	Mystara	The Broken Lands	Dungeon #51	42
Them Apples	1-3	Mystara	The Five Shires	Dungeon #48	32
Tortles of the Purple Sage pt1	4-10	Mystara	The Savage Coast	Dungeon #6	40
Tortles of the Purple Sage pt2	4-10	Mystara	The Savage Coast	Dungeon #7	8
Voyage to the Bottom of the Sea	5-7	Mystara		PC3 The Sea People: The Adventure Book	15
War in the Valley	1-36	Mystara		PC4 Night Howlers: DM's Guide	50
War of the Pharaohs	??	Mystara		HWR2 Kingdom of Nithia: DM's Tome	45
